,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,1st School Rating,status,house_type,year_built,Lotsize,perSq_Ft,Price_Level
304,745 27th Ave,San francisco,Ca,94121,2748000,4 ,4.0,2227 ,88,68,75,45,8.0,Active,Single Family Residential,1924,3118.0,1234.0,1
305,2655 Bush St #203,San francisco,Ca,94115,1295000,2 ,2.0,1288 ,98,73,86,70,4.0,Active,Condo,2017,0.0,1005.0,1
306,170 Vasquez Ave,San francisco,Ca,94127,2595000,4 ,3.5,2360 ,78,74,56,90,8.0,Active,Single Family Residential,1941,6002.0,1100.0,1
307,197 Goethe St,San francisco,Ca,94112,989000,3 ,3.0,1208 ,84,78,50,67,5.0,Active,Single Family Home,1922,3333.0,819.0,0
308,1125 - 1129 Clay St,San francisco,Ca,94108,2295000,4 ,3.5,2316 ,99,100,60,20,9.0,Active,Multi-Family (2-4 Unit),1910,1271.0,991.0,1
309,333 Main St Unit 6E,San francisco,Ca,94105,1498888,2 ,2.0,1366 ,95,100,73,11,6.0,Active,Condo,2008,0.0,1097.0,1
310,115 Plymouth Ave Unit A,San francisco,Ca,94112,828000,3 ,2.0,1120 ,85,78,56,67,4.0,Active,Condo,2022,3500.0,739.0,0
311,1073 - 1077 South Van Ness Ave,San francisco,Ca,94110,2800000,8 ,4.0,5880 ,99,86,100,0,5.0,Active,Multi-Family (5+ Unit),1900,3675.0,476.0,1
312,403 Main St #520,San francisco,Ca,94105,1175000,2 ,2.0,1083 ,89,100,82,11,6.0,Active,Condo,1997,0.0,1085.0,1
313,1644 Alabama St,San francisco,Ca,94110,1195000,2 ,2.0,984 ,91,81,70,56,3.0,Active,Condo,1900,2750.0,1214.0,1
314,1878 Bush St,San francisco,Ca,94109,2200000,3 ,2.0,1718 ,98,81,77,45,6.0,Active,Condo,1900,3781.0,1281.0,1
315,150 Rutledge St,San francisco,Ca,94110,1648000,3 ,2.0,1374 ,88,77,75,56,3.0,Active,Single Family Residential,1959,1746.0,1199.0,1
316,467 Duboce Ave Unit A,San francisco,Ca,94117,1595000,2 ,2.0,1195 ,98,96,95,67,8.0,Active,Condo,1900,0.0,1335.0,1
317,483 Tehama St,San francisco,Ca,94103,1495000,2 ,2.0,6100 ,98,100,98,55,6.0,Active,Single Family Residential,1926,2000.0,245.0,1
318,3154 Baker St,San francisco,Ca,94123,2650000,4 ,2.5,1437.0,96,64,96,45,4.0,Active,Single Family Residential,1926,0.0,0.0,1
319,1876 Bush St,San francisco,Ca,94109,2900000,3 ,2.0,2301 ,98,81,77,45,6.0,Active,Condo,1900,3781.0,1260.0,1
320,350 Church St Unit J,San francisco,Ca,94114,1195000,1 ,1.0,830 ,99,95,98,67,2.0,Active,Condo,1981,0.0,1440.0,1
321,1354 46th Ave,San francisco,Ca,94122,1299000,5 ,2.0,1676 ,88,57,88,79,8.0,Active,Condo,1915,3000.0,775.0,1
322,1236 Willard St,San francisco,Ca,94117,1195000,3 ,1.5,1270 ,96,65,67,67,7.0,Active,Condo,1900,2625.0,941.0,1
323,1001 California St #7,San francisco,Ca,94108,6350000,2 ,2.5,2980 ,99,100,58,20,5.0,Active,Condo,1914,4693.0,2131.0,1
324,200 Darien Way,San francisco,Ca,94127,2099000,4 ,4.0,2332 ,90,70,70,67,9.0,New,Single Family Residential,1926,3589.0,900.0,1
325,3310 Mission St #4,San francisco,Ca,94110,1395000,2 ,2.0,1398 ,97,81,77,56,3.0,Active,Condo,2022,4573.0,998.0,1
326,5056 Diamond Heights Blvd,San francisco,Ca,94131,945000,2 ,2.0,1052 ,73,62,65,67,6.0,Active,Condo,1963,9763.0,898.0,0
327,280 Spear St Unit 26A,San francisco,Ca,94105,1990000,2 ,2.0,1551 ,95,100,73,11,6.0,Active,Condo,2022,0.0,1283.0,1
328,3326 California St #1,San francisco,Ca,94118,1345000,2 ,2.0,1180 ,96,69,73,45,9.0,Active,Condo,2000,3646.0,1140.0,1
329,5020 Mission St #4,San francisco,Ca,94112,995000,4 ,2.0,1515 ,95,87,59,78,5.0,Active,Condo,2004,2624.0,657.0,0
330,2130 Sutter St Unit B,San francisco,Ca,94115,1498000,2 ,2.0,1325 ,99,75,92,70,4.0,Active,Condo,1890,3761.0,1131.0,1
331,2829 Steiner St #2,San francisco,Ca,94123,2149000,2 ,2.5,1454 ,98,76,58,45,4.0,Active,Condo,1956,3025.0,1478.0,1
332,624 - 626 Castro St #626,San francisco,Ca,94114,1795000,3 ,1.5,1746 ,99,83,64,67,7.0,Active,Condo,1925,3624.0,1028.0,1
333,261 17th Ave,San francisco,Ca,94121,2998888,5 ,4.5,3560 ,96,68,83,45,8.0,Active,Multi-Family (2-4 Unit),1998,3000.0,842.0,1
334,1454 South Van Ness Ave,San francisco,Ca,94110,4790000,15 ,8.0,5697 ,100,86,98,0,1.0,Active,Multi-Family (5+ Unit),1960,2844.0,841.0,1
335,1515 15th St #510,San francisco,Ca,94103,1195000,2 ,1.0,946 ,99,97,100,56,5.0,Active,Condo,2014,0.0,1263.0,1
336,1473 Hudson Ave,San francisco,Ca,94124,1595000,4 ,4.0,2745 ,87,66,74,56,2.0,Active,Single Family Residential,1933,2996.0,581.0,1
337,1415 San Bruno Ave Unit A,San francisco,Ca,94110,1199000,2 ,2.0,1116 ,94,74,91,56,4.0,Active,Condo,1900,2495.0,1074.0,1
338,1415 San Bruno Ave,San francisco,Ca,94110,1299000,3 ,2.0,1126 ,94,74,91,56,4.0,Active,Condo,1900,2495.0,1154.0,1
339,88 King St #124,San francisco,Ca,94107,1299000,2 ,2.5,1362 ,90,90,89,11,6.0,Active,Condo,2000,0.0,954.0,1
340,1583 Dolores St,San francisco,Ca,94110,1349000,2 ,1.0,1432 ,96,80,96,67,7.0,Active,Condo,1900,2500.0,942.0,1
341,1457 Hudson Ave,San francisco,Ca,94124,1599999,5 ,3.0,1785 ,82,66,73,56,2.0,Active,Single Family Home,1912,2996.0,896.0,1
342,525 Gennessee St,San francisco,Ca,94127,1859000,4 ,3.0,1950 ,80,72,58,67,7.0,Active,Single Family Residential,1926,2500.0,953.0,1
343,1355 35th Ave,San francisco,Ca,94122,1799000,6 ,4.0,2445 ,75,57,84,67,9.0,Active,Single Family Residential,1927,2996.0,736.0,1
344,2242 Judah St,San francisco,Ca,94122,1200000,3 ,2.0,1437.0,89,59,77,67,9.0,Active,Condo,1945,1873.0,0.0,1
345,156 Moffitt St,San francisco,Ca,94131,995000,3 ,1.0,987 ,60,80,66,67,5.0,Active,Single Family Residential,1950,2500.0,1008.0,0
346,132 Britton St,San francisco,Ca,94134,998888,3 ,1.0,1866 ,73,66,53,56,5.0,Active,Single Family Home,1923,4153.0,535.0,0
347,36 Brunswick St,San francisco,Ca,94112,1495000,3 ,3.5,1870 ,85,75,31,67,3.0,Active,Single Family Residential,1916,1799.0,799.0,1
348,708 Long Bridge St #306,San francisco,Ca,94158,1739000,2 ,2.0,1425 ,87,81,93,11,6.0,Active,Condo,2016,0.0,1220.0,1
349,115 Carl St #6,San francisco,Ca,94117,665000,1 ,1.0,531 ,97,68,84,45,7.0,Active,Condo,1964,3611.0,1252.0,0
350,149 Albion St,San francisco,Ca,94110,2649000,3 ,2.5,1840 ,99,96,100,67,2.0,Active,Condo,2015,3263.0,1440.0,1
351,2 Mercedes Way,San francisco,Ca,94127,4375000,7 ,8.0,6459 ,92,70,67,67,9.0,Active,Single Family Residential,1931,9726.0,677.0,1
352,257 Montana St,San francisco,Ca,94112,998888,3 ,1.0,986 ,69,78,44,67,4.0,Active,Single Family Home,1907,3938.0,1013.0,0
353,250 King St #264,San francisco,Ca,94107,575000,1 ,1.0,595 ,95,90,92,11,6.0,Active,Condo,2004,0.0,966.0,0
354,99 Rausch St #202,San francisco,Ca,94103,625000,1 ,1.0,1437.0,98,100,99,35,6.0,Active,Condo,2017,0.0,0.0,0
355,11 Imperial Ave,San francisco,Ca,94123,2249000,3 ,1.5,1437.0,98,80,84,45,6.0,Active,Single Family Residential,1906,2056.0,0.0,1
356,1429 Sacramento St,San francisco,Ca,94109,3495000,5 ,3.5,3265 ,98,96,63,20,5.0,Active,Single Family Residential,1908,2915.0,1070.0,1
357,294 Hale St,San francisco,Ca,94134,895000,2 ,1.0,1328 ,86,69,76,56,6.0,Active,Single Family Residential,1907,1875.0,674.0,0
358,573 Donahue St,San francisco,Ca,94124,850000,2 ,2.0,1380 ,42,51,24,51,2.0,Active,Townhouse,2016,0.0,616.0,0
359,1118 - 1120 Capitol Ave,San francisco,Ca,94112,1995000,8 ,4.0,3475 ,88,80,63,67,9.0,Active,Multi-Family (2-4 Unit),1907,2813.0,574.0,1
360,170 Alpine Ter,San francisco,Ca,94117,1895000,3 ,1.0,1483 ,94,85,70,45,8.0,Active,Condo,1905,0.0,1278.0,1
361,2480 Fulton St #4,San francisco,Ca,94118,769000,1 ,1.0,738 ,88,73,70,45,9.0,Active,Condo,1925,3438.0,1042.0,0
362,338 Spear St Unit 39E,San francisco,Ca,94105,2625000,3 ,2.0,1582 ,95,100,73,11,6.0,Active,Condo,2009,0.0,1659.0,1
363,332 South Hill Blvd,San francisco,Ca,94112,1188000,3 ,2.0,1269 ,46,59,18,67,3.0,Active,Single Family Residential,1962,0.0,936.0,1
364,566 Athens St,San francisco,Ca,94112,730000,2 ,1.0,1104 ,81,73,50,56,4.0,Active,Single Family Home,1916,2500.0,661.0,0
365,760 Dolores St,San francisco,Ca,94110,4200000,4 ,4.0,1437.0,97,88,64,67,7.0,Active,Single Family Residential,1900,2622.0,0.0,1
366,601 Van Ness Ave #141,San francisco,Ca,94102,549000,1 ,1.5,889 ,99,100,99,45,5.0,Active,Condo,1982,0.0,618.0,0
367,15 Lucerne St Unit B,San francisco,Ca,94103,1295000,2 ,2.5,1875 ,94,93,99,35,6.0,Active,Condo,1997,0.0,691.0,1
368,731 23rd Ave,San francisco,Ca,94121,2995000,4 ,4.5,2711 ,84,70,79,45,8.0,Active,Single Family Residential,1922,2996.0,1105.0,1
369,4185 Cesar Chavez St,San francisco,Ca,94131,1785000,2 ,1.5,1395 ,93,71,62,67,7.0,Active,Single Family Residential,1900,2056.0,1280.0,1
370,462 Victoria St,San francisco,Ca,94132,1050000,3 ,1.0,1214 ,74,73,43,67,8.0,Active,Single Family Residential,1945,2500.0,865.0,1
371,1671 34th Ave,San francisco,Ca,94122,4289000,5 ,3.0,2616 ,80,58,74,67,9.0,Active,Single Family Residential,1940,3000.0,1640.0,1
372,125 Majestic Ave,San francisco,Ca,94112,700000,2 ,1.0,1000 ,68,86,38,67,4.0,Active,Single Family Residential,1926,2495.0,700.0,0
373,2275 45th Ave,San francisco,Ca,94116,1995000,3 ,2.5,2415 ,69,57,70,67,9.0,Active,Single Family Residential,1931,2996.0,826.0,1
374,534 Dorado Ter,San francisco,Ca,94112,975000,2 ,2.5,1332 ,90,75,70,67,9.0,Active,Condo,1985,0.0,732.0,0
375,1722 Larkin St,San francisco,Ca,94109,1600000,3 ,2.0,1950 ,99,87,70,20,5.0,Active,Condo,1905,3499.0,821.0,1
376,1422 Cabrillo St,San francisco,Ca,94118,1795000,3 ,2.0,2257 ,84,71,89,45,8.0,Active,Condo,1921,2950.0,795.0,1
377,2576 - 2578 Folsom St,San francisco,Ca,94110,1795000,19 ,7.5,3725 ,98,85,100,56,5.0,Active,Multi-Family (2-4 Unit),1890,3369.0,482.0,1
378,1587 15th St #403,San francisco,Ca,94103,509950,2 ,1.0,724 ,99,97,100,56,5.0,Active,Condo,2007,8670.0,704.0,0
379,3410 Jackson St,San francisco,Ca,94118,23500000,5 ,5.5,7140 ,89,69,67,45,9.0,Active,Single Family Residential,1923,4788.0,3291.0,1
380,259 Clara St #202,San francisco,Ca,94107,1195000,2 ,2.0,1240 ,97,100,95,55,6.0,Active,Condo,2017,0.0,964.0,1
381,650 11th Ave,San francisco,Ca,94118,2350000,5 ,4.0,2613 ,91,71,97,55,9.0,Active,Single Family Residential,1922,3000.0,899.0,1
382,3949 21St St,San francisco,Ca,94114,1695000,1 ,2.0,695 ,94,76,64,67,7.0,Active,Single Family Residential,1918,1873.0,2439.0,1
383,586 Paris St,San francisco,Ca,94112,750000,3 ,3.0,2150 ,94,83,45,56,5.0,Active,Single Family Home,1913,2500.0,349.0,0
384,1 Steuart St #409,San francisco,Ca,94105,1700000,1 ,1.0,880 ,99,100,83,11,9.0,Active,Condo,2021,0.0,1932.0,1
385,4 Newell St Unit A,San francisco,Ca,94133,1396000,1 ,1.5,1171 ,99,81,74,20,7.0,Active,Condo,1918,2326.0,1192.0,1
386,4 Newell St,San francisco,Ca,94133,1815000,3 ,2.5,1523 ,99,81,74,20,7.0,Active,Condo,1918,2326.0,1192.0,1
387,370 Wawona St,San francisco,Ca,94127,1849000,3 ,2.0,1437.0,95,74,69,55,8.0,Active,Single Family Residential,1924,4081.0,0.0,1
388,1342 Fell St,San francisco,Ca,95132,4195000,4 ,4.0,3780 ,97,80,91,45,9.0,Active,Single Family Residential,2023,3436.0,1110.0,1
389,1320 Vallejo St,San francisco,Ca,94109,730000,2 ,1.0,835 ,99,83,67,20,9.0,Active,Condo,1908,2360.0,874.0,0
390,750 Great Hwy #1,San francisco,Ca,94121,1598000,3 ,2.0,1295 ,77,61,93,45,9.0,Active,Condo,1990,3564.0,1234.0,1
391,110 Merced Ave,San francisco,Ca,94127,2295000,8 ,6.0,4978 ,79,74,61,90,8.0,Active,Single Family Residential,1923,6013.0,461.0,1
392,197 Lower Ter,San francisco,Ca,94114,2395000,3 ,2.0,1575 ,87,75,65,45,8.0,Active,Single Family Residential,1924,2199.0,1521.0,1
393,425 1st St #4706,San francisco,Ca,94105,1998000,2 ,2.0,1238 ,89,100,61,11,6.0,Active,Condo,2008,0.0,1614.0,1
394,506 Banks St,San francisco,Ca,94110,2250000,3 ,2.0,1701 ,92,74,65,56,3.0,Active,Single Family Residential,1925,1751.0,1323.0,1
395,473 Andover St,San francisco,Ca,94110,3500000,4 ,2.0,1600 ,94,76,66,56,3.0,Active,Single Family Residential,1928,3497.0,2188.0,1
396,246 2nd St #1304,San francisco,Ca,94105,790000,1 ,1.0,644 ,96,100,77,11,6.0,Active,Condo,2000,0.0,1227.0,0
397,643 Masonic Ave,San francisco,Ca,94117,1395000,2 ,1.5,1544 ,96,73,88,45,9.0,Active,Condo,1917,0.0,903.0,1
398,645 Masonic Ave,San francisco,Ca,94117,1345000,2 ,1.5,1447 ,97,73,96,45,9.0,Active,Condo,1917,0.0,930.0,1
399,150 Lombard St #201,San francisco,Ca,94111,1168000,2 ,2.0,1172 ,90,79,64,35,7.0,Active,Condo,1975,0.0,997.0,1
400,5150 Diamond Heights Blvd Unit 201B,San francisco,Ca,94131,899950,2 ,1.0,990 ,80,60,61,67,6.0,Active,Condo,1972,0.0,909.0,0
401,139 Quintara St,San francisco,Ca,94116,1388000,3 ,1.5,1495 ,56,73,40,67,8.0,Active,Single Family Residential,1956,2495.0,928.0,1
402,1298 48th Ave,San francisco,Ca,94122,1295000,4 ,2.0,2442 ,81,55,87,79,8.0,Active,Single Family Residential,1905,2688.0,530.0,1
403,15-17 Holloway Ave,San francisco,Ca,94112,1098000,4 ,2.0,1920 ,89,86,62,0,7.0,Active,Other Residential,1908,3750.0,572.0,1
404,375 Fair Oaks St,San francisco,Ca,94110,1350000,3 ,1.0,1437.0,98,83,75,67,7.0,Active,Condo,1908,3123.0,0.0,1
405,377 Fair Oaks St,San francisco,Ca,94110,1250000,2 ,1.0,1437.0,98,83,75,67,7.0,Active,Condo,1908,3123.0,0.0,1
406,301 Yale St,San francisco,Ca,94134,1399900,3 ,3.5,1764 ,56,65,42,56,5.0,Active,Condo,2021,0.0,794.0,1
407,145 Cortland Ave,San francisco,Ca,94110,1298000,3 ,2.0,1274 ,96,77,73,56,3.0,Active,Single Family Residential,1978,2308.0,1019.0,1
408,1370 17th Ave,San francisco,Ca,94122,800000,1 ,1.0,1437.0,96,68,60,67,8.0,Active,Co-op,1947,3440.0,0.0,0
409,2174 43rd Ave,San francisco,Ca,94116,1195000,3 ,1.0,1194 ,69,57,65,67,9.0,Active,Single Family Residential,1944,2996.0,1001.0,1
410,510 Oak St,San francisco,Ca,94102,1295000,2 ,1.5,1288 ,98,94,81,45,5.0,Active,Condo,1900,3300.0,1005.0,1
411,653 28th St,San francisco,Ca,94131,4995000,5 ,5.0,4105 ,84,63,54,67,7.0,Active,Single Family Residential,2021,2905.0,1217.0,1
412,3727-3729 Judah St,San francisco,Ca,94122,1750000,6 ,4.0,2460 ,89,57,92,79,8.0,Active,Duplex,1919,2495.0,711.0,1
413,175 Bluxome St #208,San francisco,Ca,94107,799000,2 ,2.0,906 ,92,91,98,55,6.0,Active,Condo,1998,0.0,882.0,0
414,3425 Quintara St,San francisco,Ca,94116,1095000,3 ,1.0,1214 ,67,57,72,67,9.0,Active,Single Family Residential,1945,2495.0,902.0,1
415,1476 36th Ave,San francisco,Ca,94122,1595000,3 ,1.5,2116 ,76,58,77,67,9.0,Active,Single Family Residential,1933,2748.0,754.0,1
416,2298 Pacific Ave Unit 1 N,San francisco,Ca,94115,1595000,2 ,2.5,1527 ,98,74,87,70,5.0,Active,Co-op,1926,3720.0,1045.0,1
417,1251 Rhode Island St,San francisco,Ca,94107,1095000,2 ,1.0,1046 ,88,70,74,56,6.0,Active,Condo,1911,2500.0,1047.0,1
418,455 Vallejo St Unit C,San francisco,Ca,94133,998000,1 ,1.0,825 ,100,93,62,20,9.0,Active,Condo,1973,0.0,1210.0,0
419,1301 Fulton St #206,San francisco,Ca,94117,649000,1 ,1.0,610 ,97,79,97,45,9.0,Active,Condo,1987,0.0,1064.0,0
420,1624 Larkin St #8,San francisco,Ca,94109,1549000,3 ,2.0,1290 ,99,90,70,20,5.0,Active,Condo,1984,4678.0,1201.0,1
421,1254 36th Ave,San francisco,Ca,94122,2280000,4 ,3.0,2008 ,70,56,86,67,9.0,Active,Single Family Residential,1921,3598.0,1135.0,1
422,4184 20th St,San francisco,Ca,94114,1649000,3 ,3.0,1948 ,98,81,63,67,7.0,Active,Condo,1910,1375.0,847.0,1
423,188 Minna St Unit 33E,San francisco,Ca,94105,5500000,3 ,3.5,2670 ,98,100,85,11,6.0,Active,Condo,2005,0.0,2060.0,1
424,2274 - 2278 Lombard St,San francisco,Ca,94123,1628000,4 ,2.5,2540 ,99,68,85,45,6.0,Active,Multi-Family (2-4 Unit),1916,2750.0,641.0,1
425,55 Elsie St,San francisco,Ca,94110,1649000,4 ,2.0,1472 ,93,83,68,56,3.0,Active,Single Family Residential,1900,1746.0,1120.0,1
426,999 Green St #2902,San francisco,Ca,94133,3750000,3 ,3.0,1437.0,96,82,64,20,9.0,Active,Condo,1964,0.0,0.0,1
427,3036 Fulton St #3,San francisco,Ca,94118,895000,2 ,1.0,3260 ,87,73,76,55,9.0,Active,Condo,1900,2879.0,275.0,0
428,3036 Fulton St #2,San francisco,Ca,94118,950000,2 ,2.0,3260 ,87,73,76,55,9.0,Active,Condo,1900,2879.0,291.0,0
429,75 Folsom St #1502,San francisco,Ca,94105,3775000,2 ,2.0,2635 ,95,100,73,11,6.0,Active,Condo,1991,0.0,1433.0,1
430,1534 Irving St #101,San francisco,Ca,94122,818000,2 ,1.0,750 ,97,68,74,67,8.0,Active,Condo,1994,0.0,1091.0,0
431,111 Diamond Cove Ter,San francisco,Ca,94134,1038000,3 ,3.5,1724 ,42,65,40,62,2.0,Active,Townhouse,2010,7776.0,602.0,1
432,518 Duncan St,San francisco,Ca,94131,2750000,3 ,2.5,3534 ,90,73,63,67,7.0,Active,Townhouse,2001,3666.0,778.0,1
433,1006 Noe St #1,San francisco,Ca,94114,699000,1 ,1.0,651 ,95,73,66,67,7.0,Active,Condo,1905,2481.0,1074.0,0
434,20 Parsons St,San francisco,Ca,94118,1395000,3 ,1.5,1344 ,89,73,69,45,9.0,Active,Condo,1908,2375.0,1038.0,1
435,14 Ina Ct,San francisco,Ca,94112,1498000,3 ,2.0,1745 ,58,69,44,56,5.0,Active,Single Family Residential,1950,2504.0,858.0,1
436,3039 19th Ave,San francisco,Ca,94132,1899000,3 ,3.0,2868 ,93,70,72,55,6.0,Active,Single Family Home,1939,6246.0,662.0,1
437,280 Spear St Unit 31D,San francisco,Ca,94105,1685000,2 ,2.0,1055 ,95,100,73,11,6.0,Active,Condo,2022,0.0,1597.0,1
438,2519 Mcallister St,San francisco,Ca,94118,2275000,4 ,3.0,1977 ,85,72,73,45,9.0,Active,Single Family Residential,1900,2352.0,1151.0,1
439,170 King St #211,San francisco,Ca,94107,960000,2 ,2.0,900 ,92,89,91,11,6.0,Active,Condo,2007,0.0,1067.0,0
440,301 Mission St Unit 20H,San francisco,Ca,94105,658000,1 ,1.0,666 ,99,100,82,11,6.0,Active,Condo,2009,0.0,988.0,0
441,1940 Buchanan St,San francisco,Ca,94115,1395000,3 ,1.0,1480 ,99,80,78,45,6.0,Active,Condo,1904,1851.0,943.0,1
442,1201 Sutter St #203,San francisco,Ca,94109,499000,1 ,1.0,1437.0,99,85,82,20,5.0,Active,Condo,2021,8245.0,0.0,0
443,2096 California St,San francisco,Ca,94109,839000,1 ,1.0,944 ,95,83,67,45,6.0,Active,Condo,1947,2766.0,889.0,0
444,383 Haight St,San francisco,Ca,94102,665000,2 ,1.0,670 ,99,97,85,45,5.0,Active,Condo,1900,2375.0,993.0,0
445,832 Rhode Island St,San francisco,Ca,94107,1795000,2 ,2.5,1437.0,91,73,64,56,6.0,Active,Condo,2022,2500.0,0.0,1
446,246 Athens St,San francisco,Ca,94112,739500,1 ,2.0,1022 ,76,73,46,56,5.0,Active,Single Family Residential,1912,2495.0,724.0,0
447,201 Bonview St,San francisco,Ca,94110,1995000,4 ,4.0,2587 ,95,77,67,56,3.0,Active,Multi-Family (2-4 Unit),1900,1794.0,771.0,1
448,2168 Bush St,San francisco,Ca,94115,1198000,2 ,1.5,1068 ,99,78,78,45,6.0,Active,Condo,1885,2312.0,1122.0,1
449,1153 Alabama St,San francisco,Ca,94110,819000,2 ,1.0,1036 ,98,82,100,56,4.0,Active,Condo,1900,3946.0,791.0,0
450,988 Fulton St #316,San francisco,Ca,94117,595000,1 ,1.0,417 ,97,84,75,45,5.0,Active,Condo,1999,0.0,1427.0,0
451,219 Brannan St Unit 1D,San francisco,Ca,94107-4031,799000,1 ,1.5,844 ,89,100,81,11,6.0,Active,Condo,2000,0.0,947.0,0
452,718 Long Bridge St #1303,San francisco,Ca,94158,2798000,3 ,3.0,1958 ,87,81,93,11,6.0,Active,Condo,2016,0.0,1429.0,1
453,850 Powell St #104,San francisco,Ca,94108,2600000,4 ,4.0,2454 ,100,100,59,20,9.0,Active,Condo,1923,0.0,1059.0,1
454,435 China Basin St #205,San francisco,Ca,94158,1299000,2 ,2.0,1185 ,86,76,93,11,6.0,Active,Condo,2012,0.0,1096.0,1
455,93 Mirabel Ave,San francisco,Ca,94110,1049000,2 ,2.0,1025 ,98,84,73,56,3.0,Active,Single Family Residential,1900,5000.0,1023.0,1
456,334 Holladay Ave,San francisco,Ca,94110,1597000,3 ,2.0,1437 ,89,73,75,56,3.0,Active,Single Family Residential,1917,1750.0,1111.0,1
457,1000 3rd St #615,San francisco,Ca,94158,1050000,1 ,2.0,961 ,90,78,91,11,6.0,Active,Condo,2018,0.0,1093.0,1
458,77 Van Ness Ave #605,San francisco,Ca,94102,995000,1 ,1.0,946 ,100,100,99,55,5.0,Active,Condo,2009,0.0,1052.0,0
459,201 Sansome St #804,San francisco,Ca,94104,1475000,2 ,2.5,1541 ,100,100,87,61,9.0,Active,Condo,1909,5876.0,957.0,1
460,152 Summit Way,San francisco,Ca,94132,1325000,3 ,2.5,1839 ,83,71,40,55,6.0,Active,Condo,2015,981.0,721.0,1
461,950 Corbett Ave #1,San francisco,Ca,94131,1695000,3 ,2.0,1801 ,65,60,66,67,9.0,Active,Condo,2007,3101.0,941.0,1
462,815 Tennessee St #208,San francisco,Ca,94107,925000,1 ,1.0,763 ,95,69,95,56,6.0,Active,Condo,2018,0.0,1212.0,0
463,15 Rico Way #2,San francisco,Ca,94123,999888,1 ,1.0,840 ,90,66,91,45,6.0,Active,Condo,1929,0.0,1190.0,0
464,873 44th Ave,San francisco,Ca,94121,1479000,3 ,2.0,1437.0,76,64,78,45,9.0,Active,Single Family Residential,1940,3000.0,0.0,1
465,1822 9th Ave,San francisco,Ca,94122,1600000,4 ,2.0,1653 ,60,70,45,67,9.0,Active,Single Family Residential,1939,3000.0,968.0,1
466,372 Douglass St,San francisco,Ca,94114,2695000,4 ,4.0,2045 ,93,76,67,67,7.0,Active,Single Family Residential,1913,2622.0,1318.0,1
467,634-636 Taraval St,San francisco,Ca,94116,1888888,3 ,2.5,1758 ,95,71,61,67,8.0,Active,Duplex,1922,2400.0,1074.0,1
468,1097 Green St #9,San francisco,Ca,94133,1170000,1 ,1.0,998 ,97,82,65,20,9.0,Active,Condo,1910,9911.0,1172.0,1
469,74 Bernard St,San francisco,Ca,94133,1049000,2 ,1.0,913 ,97,88,63,20,9.0,Active,Condo,1915,1291.0,1149.0,1
470,601 Van Ness Ave #601,San francisco,Ca,94102,599000,1 ,1.0,749 ,99,100,99,45,5.0,Active,Condo,1982,0.0,800.0,0
471,30 - A Heather Ave,San francisco,Ca,94118,899000,2 ,1.0,918 ,96,69,75,45,8.0,Active,Condo,1949,3637.0,979.0,0
472,317 29th St #207,San francisco,Ca,94131,979000,1 ,1.0,860 ,95,78,86,67,5.0,Active,Condo,1999,0.0,1138.0,0
473,2552 24th Ave,San francisco,Ca,94116,1988000,3 ,3.0,1970 ,91,67,61,67,8.0,Active,Single Family Residential,1925,3197.0,1009.0,1
474,6509 Geary Blvd #204,San francisco,Ca,94121,825000,2 ,1.0,763 ,92,68,54,45,8.0,Active,Condo,1981,5100.0,1081.0,0
475,2405 Washington St,San francisco,Ca,94115,5950000,5 ,3.5,3878 ,99,80,68,45,6.0,Active,Single Family Residential,1900,3223.0,1534.0,1
476,451 Bayview Cir,San francisco,Ca,94124,955000,3 ,2.5,1601 ,82,72,56,56,2.0,Active,Single Family Residential,1985,1755.0,597.0,0
477,3054-3056 Octavia St,San francisco,Ca,94123,3288000,6 ,4.0,3403 ,98,79,82,45,6.0,Active,Fourplex,1912,2500.0,966.0,1
478,1922 Laguna St,San francisco,Ca,94115,1436000,3 ,2.0,1456 ,95,83,67,45,6.0,Active,Condo,1890,0.0,986.0,1
479,1324 - 1326 Balboa St,San francisco,Ca,94118,1998888,4 ,2.0,2300 ,93,71,90,45,8.0,Active,Multi-Family (2-4 Unit),1920,2800.0,869.0,1
480,93 Clearfield Dr,San francisco,Ca,94132,1950000,4 ,3.0,1700 ,79,53,85,90,6.0,Active,Single Family Home,1951,3183.0,1147.0,1
481,200 Townsend St #6,San francisco,Ca,94107,1200000,1 ,2.0,1321 ,94,91,92,55,6.0,Active,Condo,2003,0.0,908.0,1
482,1 Hawthorne St Unit 7D,San francisco,Ca,94105,825000,1 ,1.0,850 ,97,100,74,11,6.0,Active,Condo,2010,0.0,971.0,0
483,2331 31st Ave,San francisco,Ca,94116,1195000,2 ,1.0,1437.0,86,58,60,67,8.0,Active,Single Family Residential,1926,4080.0,0.0,1
484,2454 26th Ave,San francisco,Ca,94116,1398000,3 ,1.5,1090 ,93,64,55,67,8.0,Active,Single Family Residential,1924,2996.0,1283.0,1
485,28 Sussex St,San francisco,Ca,94131,2000000,3 ,2.5,1677 ,83,81,70,67,5.0,Active,Single Family Residential,1977,2500.0,1193.0,1
486,1266 15th Ave,San francisco,Ca,94122,1690000,4 ,2.0,2432 ,98,69,76,67,8.0,Active,Single Family Home,1923,3188.0,695.0,1
