,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,1st School Rating,status,house_type,year_built,Lotsize,perSq_Ft,Price_Level
180,3931 Opal St,Oakland,Ca,94609,988000,2 ,1.0,1043 ,97,69,98,87,4.0,Active,Single Family Residential,1914,2915.0,947.0,0
181,22421 Fuller Ave,Hayward,Ca,94541,799888,4 ,2.0,1681 ,67,46,65,52,3.0,New,Single Family Residential,1925,10239.0,476.0,0
182,2800 Hopkins Pl,Oakland,Ca,94602,779000,2 ,1.5,1098 ,88,55,47,82,7.0,New,Single Family Residential,1922,3605.0,709.0,0
183,389 Belmont St #101,Oakland,Ca,94610,785000,2 ,2.0,1261 ,95,67,92,51,4.0,Active,Condo,1983,0.0,623.0,0
184,66 Fairmount Ave #219,Oakland,Ca,94611,589000,2 ,2.0,983 ,93,67,78,51,8.0,Active,Condo,1972,0.0,599.0,0
185,901 Jefferson St #314,Oakland,Ca,94607,655000,2 ,2.0,909 ,98,86,89,76,2.0,Active,Condo,2009,0.0,721.0,0
186,2110 Buena Vis,Alameda,Ca,94501,1100000,4 ,3.5,1935 ,87,49,74,84,6.0,Active,Multi-Family (2-4 Unit),1896,4500.0,568.0,1
187,8031 Merion Dr,Newark,Ca,94560,1580000,5 ,2.5,1808 ,38,0,45,82,6.0,Active,Single Family Home,1975,8820.0,874.0,1
188,425 28Th St Unit 202A,Oakland,Ca,94609,499000,1 ,1.5,912 ,97,71,98,73,2.0,Active,Condo,1963,0.0,547.0,0
189,3749 Jamestown Rd,Fremont,Ca,94538,950000,3 ,2.0,1112 ,56,31,57,93,8.0,Active,Single Family Home,1954,5450.0,854.0,0
190,2941 Marina Dr,Alameda,Ca,94501,1299000,3 ,2.5,2105 ,69,65,92,78,9.0,Active,Single Family Residential,1941,7093.0,617.0,1
191,1779 Gazelle Way,Hayward,Ca,94541,678888,3 ,2.5,1293 ,45,36,23,88,5.0,Active,Townhouse,1972,1219.0,525.0,0
192,1778 Pleasant Vly,Oakland,Ca,94611,1095000,3 ,2.0,1588 ,90,48,54,81,4.0,Active,Single Family Residential,1917,6993.0,690.0,1
193,702 Bridge Rd,San leandro,Ca,94577,1398000,5 ,1.0,2047 ,80,53,82,98,6.0,Active,Single Family Residential,1931,4784.0,683.0,1
194,690 Gable Dr,Fremont,Ca,94539,1575000,3 ,2.5,1485 ,42,31,44,77,8.0,Active,Single Family Home,1970,8030.0,1061.0,1
195,828 Alma Pl,Oakland,Ca,94610,1249000,4 ,3.5,2201 ,58,54,52,82,8.0,Active,Single Family Residential,1923,5390.0,567.0,1
196,846 42Nd St,Oakland,Ca,94608,1175000,5 ,3.0,1824 ,91,72,98,70,4.0,Active,Single Family Residential,1919,4000.0,644.0,1
197,22591 Mossy Rock Dr,Hayward,Ca,94541,699000,3 ,2.0,1280 ,15,0,10,76,4.0,Active,Single Family Residential,1979,5144.0,546.0,0
198,23 Castlewood Dr,Pleasanton,Ca,94566,2849999,4 ,2.5,3044 ,5,0,8,67,7.0,Active,Single Family Residential,1969,0.0,936.0,1
199,2018 Ninth St Unit D,Berkeley,Ca,94710,465000,1 ,1.0,583 ,96,61,94,69,8.0,Active,Condo,1986,0.0,798.0,0
200,5110 Crockett Pl,Oakland,Ca,94602,1495000,4 ,3.5,4136 ,13,33,9,82,4.0,Active,Single Family Residential,2001,6534.0,361.0,1
201,3479 Davis St,Oakland,Ca,94601,629900,3 ,2.0,1062 ,74,56,66,73,3.0,Active,Single Family Residential,1925,3164.0,593.0,0
202,264 Mather St,Oakland,Ca,94611,1585000,4 ,3.0,2090 ,95,57,66,81,4.0,Active,Single Family Residential,1926,2663.0,758.0,1
203,17069 President Dr,Castro valley,Ca,94546,699000,3 ,2.0,1770 ,31,35,9,75,3.0,Active,Single Family Home,1968,5612.0,395.0,0
204,1058 Victoria Ave,San leandro,Ca,94577,649000,2 ,1.0,846 ,74,52,63,79,6.0,Active,Single Family Residential,1953,3277.0,767.0,0
205,7455 Sheridan Rd,Sunol,Ca,94586,2000000,4 ,2.0,2791 ,0,0,1,67,9.0,Active,Single Family Residential,1966,0.0,717.0,1
206,4628 Fieldbrook Rd,Oakland,Ca,94619,1150000,4 ,3.0,1943 ,69,38,32,82,4.0,Active,Single Family Residential,1948,6138.0,592.0,1
207,1024 Curtis St,Albany,Ca,94706,995000,2 ,1.0,1133 ,86,51,86,87,9.0,Active,Single Family Residential,1925,3500.0,878.0,0
208,2039 103rd Ave,Oakland,Ca,94603,425000,3 ,2.0,1406 ,68,58,72,77,2.0,Active,Single Family Residential,1947,5500.0,302.0,0
209,744 Barcelona Dr,Fremont,Ca,94536,1999000,4 ,3.0,2361 ,34,25,41,63,7.0,Active,Single Family Residential,1966,10165.0,847.0,1
210,69 Roble Rd,Oakland,Ca,94618,1495000,2 ,2.0,2161 ,60,48,53,79,7.0,Active,Single Family Residential,1993,7338.0,692.0,1
211,22 Woodside Glen Ct,Oakland,Ca,94602,1489000,4 ,2.5,2841 ,43,30,22,79,7.0,Active,Single Family Residential,2006,0.0,524.0,1
212,3459 Hazel Ln,Alameda,Ca,94502,790000,2 ,2.0,1247 ,41,30,52,73,9.0,Active,Townhouse,1973,2262.0,634.0,0
213,3914 Coolidge,Oakland,Ca,94602,773000,2 ,1.0,1034 ,61,51,47,92,7.0,Active,Single Family Residential,1926,5070.0,748.0,0
214,12 REGULUS Ct,Alameda,Ca,94501,895000,2 ,2.0,1443 ,69,47,81,73,8.0,Active,Condo,1988,0.0,620.0,0
215,3112 Ellis St Unit A,Berkeley,Ca,94703,995000,3 ,1.5,1272 ,93,63,99,85,7.0,Active,Single Family Residential,2002,4748.0,782.0,0
216,1196 Kains Ave,Berkeley,Ca,94706,898000,2 ,1.0,860 ,93,58,99,74,8.0,Active,Single Family Residential,1908,2640.0,1044.0,0
217,1457 Trimingham Dr,Pleasanton,Ca,94566,1275000,3 ,2.5,1731 ,79,32,73,83,7.0,Price Change,Single Family Residential,1986,2850.0,737.0,1
218,25266 Villager Ln,Hayward,Ca,94544,949000,4 ,3.5,2119 ,56,39,60,82,6.0,Active,Townhouse,2020,7238.0,448.0,0
219,17373 Robey Dr,Castro valley,Ca,94546,949000,3 ,2.5,2276 ,15,36,13,75,3.0,Active,Single Family Residential,1989,5172.0,417.0,0
220,4300 Adeline St,Emeryville,Ca,94608,1298000,4 ,3.0,1923 ,92,0,97,63,4.0,Active,Single Family Residential,1939,4400.0,675.0,1
221,2700 Madeline St,Oakland,Ca,94602,909090,2 ,1.0,1031 ,79,55,48,82,7.0,Active,Single Family Residential,1924,2660.0,882.0,0
222,35920 Ashton Pl,Fremont,Ca,94536,1499999,3 ,2.0,1523 ,64,41,50,87,8.0,Active,Single Family Residential,1968,5800.0,985.0,1
223,2285 Star Ave,Castro valley,Ca,94546,799000,2 ,2.0,1260 ,73,45,82,85,3.0,Active,Single Family Residential,1947,5040.0,634.0,0
224,3425 Brunell Dr,Oakland,Ca,94602,1629000,4 ,2.5,2868 ,12,35,11,82,4.0,Active,Single Family Residential,1986,0.0,568.0,1
225,2854 Shasta Rd,Berkeley,Ca,94708,1498000,3 ,3.0,1593 ,27,33,32,90,6.0,Active,Single Family Residential,1941,5096.0,940.0,1
226,2667 Acorn St,Castro valley,Ca,94546,1179000,3 ,3.0,1744 ,30,27,13,75,6.0,Active,Single Family Residential,1950,5050.0,676.0,1
227,4257 Knoll Ave,Oakland,Ca,94619,1395000,3 ,3.0,1798 ,33,44,21,82,7.0,Active,Single Family Residential,1943,8950.0,776.0,1
228,555 pierce St #1424,Albany,Ca,94706,389000,1 ,1.0,745 ,69,58,66,79,7.0,Active,Condo,1977,0.0,522.0,0
229,1627 83rd Ave,Oakland,Ca,94621,399000,3 ,1.0,798 ,73,56,62,67,2.0,Active,Multi-Family (2-4 Unit),1919,5001.0,500.0,0
230,4839 Roberts Ct,Castro valley,Ca,94552,1549000,4 ,3.5,2526 ,56,29,33,91,8.0,Active,Single Family Home,2019,5937.0,613.0,1
231,6119 Acacia Ave,Oakland,Ca,94618,1950000,4 ,3.5,3756 ,60,48,53,79,7.0,Active,Single Family Residential,1935,7749.0,519.0,1
232,3661 Dublin Blvd,Dublin,Ca,94568,799000,2 ,2.0,1420 ,71,0,67,74,9.0,Active,Condo,2004,0.0,563.0,0
233,2818 Derbyline Ln,Alameda,Ca,94501,757014,2 ,1.5,1000 ,64,61,76,81,5.0,Active,Condo,2023,0.0,757.0,0
234,1021 Aquarius Way,Oakland,Ca,94611,1900000,4 ,2.5,2391 ,30,25,25,79,8.0,Active,Single Family Residential,1993,4051.0,795.0,1
235,7668 Surrey Ln,Oakland,Ca,94605,1250000,4 ,2.5,2072 ,5,16,6,82,4.0,Active,Single Family Home,1967,0.0,603.0,1
236,2547 La Don Ct,Castro valley,Ca,94546,1475000,4 ,4.0,2674 ,63,31,22,75,6.0,Active,Single Family Residential,1952,0.0,552.0,1
237,6481 Bayview Dr,Oakland,Ca,94605,1095000,4 ,3.5,2513 ,18,33,15,82,2.0,Active,Townhouse,2014,2343.0,436.0,1
238,785 Taft Ave #9,Albany,Ca,94706,669000,2 ,1.0,788 ,84,58,66,91,7.0,Active,Condo,1961,8000.0,849.0,0
239,14634 Bancroft Ave,San leandro,Ca,94578,789900,2 ,2.0,1957 ,88,48,53,90,4.0,Active,Single Family Residential,1945,5667.0,404.0,0
